"origin_geoid","conteo","suma_trip_scaled_ratio","geometry","longitud","latitud"
"1300300010226008",4,63.86,c(-98.9468190859679, 20.2639298714188),-98.9468190859679,20.2639298714188
"1300300010226010",5,53.35,c(-98.9456005873732, 20.2640282715765),-98.9456005873732,20.2640282715765
"1300300010226011",2,23.51,c(-98.9446292923824, 20.2640807808898),-98.9446292923824,20.2640807808898
"1300300010226012",2,28.14,c(-98.9436661421361, 20.2640904848791),-98.9436661421361,20.2640904848791
"1300300010226013",7,165.7,c(-98.9436366339803, 20.2627870561864),-98.9436366339803,20.2627870561864
"1300300010226014",19,438.94,c(-98.943793076706, 20.2614831051763),-98.943793076706,20.2614831051763
"1300300010226017",7,77.72,c(-98.9430544925919, 20.2611868778943),-98.9430544925919,20.2611868778943
"1300300010226020",2,58.17,c(-98.9488587549946, 20.26417453877),-98.9488587549946,20.26417453877
"1300300010226030",1,11.34,c(-98.9447358819021, 20.2577464751431),-98.9447358819021,20.2577464751431
"1300300010226036",1,28.64,c(-98.9453150234391, 20.2554459298649),-98.9453150234391,20.2554459298649
"130030001025A002",1,24.58,c(-98.9286642496274, 20.2784898016594),-98.9286642496274,20.2784898016594
"130030001025A007",1,11.2,c(-98.9297937348131, 20.2789372177231),-98.9297937348131,20.2789372177231
"130030001025A010",1,15.33,c(-98.9282704733242, 20.2773728133091),-98.9282704733242,20.2773728133091
"130030001025A016",1,8.46,c(-98.9263834357086, 20.2785863064514),-98.9263834357086,20.2785863064514
"130030001025A020",1,14.19,c(-98.9271608652673, 20.280705226659),-98.9271608652673,20.280705226659
"1300300010264005",1,38.44,c(-98.9479828535306, 20.2899864656375),-98.9479828535306,20.2899864656375
"1300300010264006",1,73.88,c(-98.9471661246134, 20.2901658241715),-98.9471661246134,20.2901658241715
"1300300010264007",1,5.76,c(-98.9477446464096, 20.2880158174982),-98.9477446464096,20.2880158174982
"1300300010264008",1,13.28,c(-98.9480555771371, 20.2904137379589),-98.9480555771371,20.2904137379589
"1300300010264010",1,13.8,c(-98.947013024661, 20.2907525117811),-98.947013024661,20.2907525117811
"1300300010264011",1,7.88,c(-98.94636747634, 20.2902844971009),-98.94636747634,20.2902844971009
"1300300010279002",4,64.03,c(-98.9384797941158, 20.2669065237732),-98.9384797941158,20.2669065237732
"1300300010279005",1,12.25,c(-98.9394392376048, 20.2660762517883),-98.9394392376048,20.2660762517883
"1300300010279006",1,14.04,c(-98.9405600910339, 20.2660367444878),-98.9405600910339,20.2660367444878
"1300300010279011",1,6.1,c(-98.9374259002807, 20.2669127508443),-98.9374259002807,20.2669127508443
"1300300010279013",2,34.77,c(-98.9378630507588, 20.2654401715366),-98.9378630507588,20.2654401715366
"1300300010279014",3,42.1,c(-98.9395025245213, 20.2651386963437),-98.9395025245213,20.2651386963437
"1300300010279015",2,40.11,c(-98.9406398512573, 20.2650931563455),-98.9406398512573,20.2650931563455
"1300300010279016",2,40.04,c(-98.941755316966, 20.2650464118068),-98.941755316966,20.2650464118068
"1300300010279017",1,9.13,c(-98.9416952144133, 20.265982769891),-98.9416952144133,20.265982769891
"1300300010279019",12,115.95,c(-98.9415709050798, 20.2681252678028),-98.9415709050798,20.2681252678028
"1300300010279024",2,15.77,c(-98.9371292942494, 20.266164037262),-98.9371292942494,20.266164037262
"1300300010279025",1,6.56,c(-98.9379056375884, 20.2649781681192),-98.9379056375884,20.2649781681192
"1300300010279026",2,41.65,c(-98.9427462373438, 20.2650023363525),-98.9427462373438,20.2650023363525
"1300300010279027",2,17.79,c(-98.9427207988984, 20.2659211484517),-98.9427207988984,20.2659211484517
"1300300010279029",2,20.55,c(-98.9360473984112, 20.2680091198193),-98.9360473984112,20.2680091198193
"1300300010279030",1,34.19,c(-98.9354591605181, 20.2671665524893),-98.9354591605181,20.2671665524893
"1300300010279032",1,11.7,c(-98.9348702524019, 20.2682179196457),-98.9348702524019,20.2682179196457
"1300300010279033",1,8.91,c(-98.9349303474375, 20.2675743951933),-98.9349303474375,20.2675743951933
"1300300010279034",1,4.62,c(-98.9349184821569, 20.2668725029977),-98.9349184821569,20.2668725029977
"1300300010283001",6,113.37,c(-98.9396769142372, 20.2619672775947),-98.9396769142372,20.2619672775947
"1300300010283002",11,145.27,c(-98.9407334913124, 20.2618739543345),-98.9407334913124,20.2618739543345
"1300300010283003",2,13.97,c(-98.9407225184834, 20.2631654502234),-98.9407225184834,20.2631654502234
"1300300010283004",28,838.71,c(-98.9396264538321, 20.263200273749),-98.9396264538321,20.263200273749
"1300300010283006",3,70.93,c(-98.9364236094449, 20.2630504194095),-98.9364236094449,20.2630504194095
"1300300010283007",7,101.76,c(-98.9413503444758, 20.2603306793349),-98.9413503444758,20.2603306793349
"1300300010283008",216,4140.71,c(-98.941888052152, 20.2618153433875),-98.941888052152,20.2618153433875
"1300300010283009",19,218.51,c(-98.9418509758963, 20.2631500672177),-98.9418509758963,20.2631500672177
"1300300010283010",16,109.36,c(-98.9418044800232, 20.2641452267826),-98.9418044800232,20.2641452267826
"1300300010283011",2,32.04,c(-98.9406703090533, 20.264170567225),-98.9406703090533,20.264170567225
"1300300010283013",1,19.57,c(-98.9379911657607, 20.2640150543109),-98.9379911657607,20.2640150543109
"1300300010283016",12,167.78,c(-98.9428036048258, 20.2625141689579),-98.9428036048258,20.2625141689579
